source_file,broker,sheet_name,valuation_date,product_id,association_code,custodian_id,custodian_name,adapter_key,route_source,raw_row_index,instrument_name,instrument_code_raw,instrument_code_std,exchange,asset_type,quantity,unit_cost,cost,market_price,market_value,unrealized_pnl,subject_code,subject_name,suspension_info,review_flag,review_note
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),43,宝丰能源,600989,600989.SH,SH,a_share,986100.0,14.53,14323932.11,15.86,15639546.0,1315613.89,11020101600989,宝丰能源,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),44,隆基绿能,601012,601012.SH,SH,a_share,3883667.0,17.23,66907101.34,17.04,66177685.68,-729415.66,11020101601012,隆基绿能,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),45,赛轮轮胎,601058,601058.SH,SH,a_share,3159400.0,12.26,38733588.19,14.81,46790714.0,8057125.81,11020101601058,赛轮轮胎,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),46,博迁新材,605376,605376.SH,SH,a_share,210800.0,40.35,8506084.0,38.35,8084180.0,-421904.0,11020101605376,博迁新材,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),55,石基信息,002153,002153.SZ,SZ,a_share,5874346.0,11.48,67432190.29,8.08,47464715.68,-19967474.61,11023101002153,石基信息,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),56,海大集团,002311,002311.SZ,SZ,a_share,280500.0,43.52,12207403.54,50.13,14061465.0,1854061.46,11023101002311,海大集团,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),57,杰瑞股份,002353,002353.SZ,SZ,a_share,1318700.0,37.37,49285659.36,37.12,48950144.0,-335515.36,11023101002353,杰瑞股份,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),58,海康威视,002415,002415.SZ,SZ,a_share,4137233.0,37.88,156738143.4,31.08,128585201.64,-28152941.76,11023101002415,海康威视,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),59,立讯精密,002475,002475.SZ,SZ,a_share,5388600.0,34.09,183689901.78,40.78,219747108.0,36057206.22,11023101002475,立讯精密,正常交易,,
data_samples\raw\20250327_PRODUCT_002_证券投资基金估值表.xls,CUSTODIAN_GROUP_001,PRODUCT_002,2025-03-27,PRODUCT_002,,CUSTODIAN_001,CUSTODIAN_GROUP_001,xyzc,mapping(product_id),68,腾讯控股,00700,00700.HK,HK,hk_equity,49700.0,394.73,19618008.19,476.07,23660564.69,4042556.5,11028101H00700,腾讯控股,正常交易,,
