证券投资基金估值表,,,,,,,,,,,
上海和谐汇一资产管理有限公司___PRODUCT_002___专用表,,,,,,,,,,,
估值日期：20250327,,,,,,,单位净值：0.7807,,,单位：元,
科目代码,科目名称,数量,单位成本,成本,成本占净值%,市价,市值,市值占净值%,估值增值,停牌信息,
3102A102,衍生工具_场外指数期权冲销初始合约价值_权利方,,,"-108,020,345.31",-8.3553,,"-108,020,345.31",-8.3553,,,
3102A102000002,中信证券20221024@场外期权,,,"-6,489,421.42",-0.502,,"-6,489,421.42",-0.502,,,
3102A102000003,国君证券OP-020039,,,"-42,854,060.45",-3.3147,,"-42,854,060.45",-3.3147,,,
3102A102000004,申万宏源OP-2177001,,,"-43,676,863.44",-3.3784,,"-43,676,863.44",-3.3784,,,
3102A102000005,中金场外期权-938001,,,"-15,000,000.00",-1.1602,,"-15,000,000.00",-1.1602,,,
3102A103,衍生工具_场外指数期权成本_权利方,,,"8,740,150.74",0.676,,"5,547,181.20",0.4291,"-3,192,969.54",,
3102A103000003,国君证券OP-020039,,,"4,430,050.74",0.3427,,"8,455,987.91",0.6541,"4,025,937.17",,
3102A103000004,申万宏源OP-2177001,,,"1,935,100.00",0.1497,,"-5,866,679.69",-0.4538,"-7,801,779.69",,
3102A103000005,中金场外期权-938001,,,"2,375,000.00",0.1837,,"1,846,362.62",0.1428,"-528,637.38",,
3102A199,衍生工具_场外指数期权成本_权利方_估值增值,,,"-3,192,969.54",-0.247,,"-3,192,969.54",-0.247,,,
3102A199000002,中信证券20221024@场外期权,,,"1,111,510.36",0.086,,"1,111,510.36",0.086,,,
3102A199000003,国君证券OP-020039,,,"4,025,937.17",0.3114,,"4,025,937.17",0.3114,,,
3102A199000004,申万宏源OP-2177001,,,"-7,801,779.69",-0.6035,,"-7,801,779.69",-0.6035,,,
3102A199000005,中金场外期权-938001,,,"-528,637.38",-0.0409,,"-528,637.38",-0.0409,,,
3102C1,收益互换,,,,,,"-7,962,085.40",-0.6159,"-7,962,085.40",,
3102C101,初始合约价值,,,"103,367,038.95",7.9953,,"95,404,953.55",7.3795,"-7,962,085.40",,
3102C101000009,中信收益互换ZXSAC-107352,,,"84,291,698.28",6.5199,,"84,333,641.01",6.5231,"41,942.73",,
3102C101000265,华泰收益互换HTSC-21078-HKD,,,"19,075,340.67",1.4755,,"7,724,101.70",0.5975,"-11,351,238.97",,
3102C102,冲抵初始合约价值,,,"-103,367,038.95",-7.9953,,"-103,367,038.95",-7.9953,,,
3102C102000009,中信收益互换ZXSAC-107352,,,"-84,291,698.28",-6.5199,,"-84,291,698.28",-6.5199,,,
